x,y,MIN_REL_HUMIDITY,LOCAL_YEAR,HEATING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST_FLAG,COOLING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST,SNOW_ON_GROUND,LOCAL_MONTH,STATION_NAME,TOTAL_SNOW_FLAG,LOCAL_DAY,MIN_REL_HUMIDITY_FLAG,ID,CLIMATE_IDENTIFIER,SNOW_ON_GROUND_FLAG,MIN_TEMPERATURE,SPEED_MAX_GUST,MAX_REL_HUMIDITY_FLAG,HEATING_DEGREE_DAYS,TOTAL_RAIN_FLAG,MIN_TEMPERATURE_FLAG,PROVINCE_CODE,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST_FLAG,MEAN_TEMPERATURE_FLAG,TOTAL_RAIN,TOTAL_SNOW,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS,TOTAL_PRECIPITATION,MAX_TEMPERATURE,MEAN_TEMPERATURE,LOCAL_DATE,MAX_REL_HUMIDITY
-79.4,43.666666666666664,,2015,,,,,0,1,TORONTO,,1,,6158350.2015.1.1,6158350,,,,,,,,ON,,,,0,0,,,0,,,2015-01-01 00:00:00,
-79.4,43.666666666666664,,2015,,,,,0,1,TORONTO,,2,,6158350.2015.1.2,6158350,,,,,,,,ON,,,,0,0,,,0,,,2015-01-02 00:00:00,
-79.4,43.666666666666664,,2015,,,,,0,1,TORONTO,,3,,6158350.2015.1.3,6158350,,,,,,,,ON,,,,8,5.4,,,13.8,,,2015-01-03 00:00:00,
-79.4,43.666666666666664,,2015,,,,,0,1,TORONTO,,4,,6158350.2015.1.4,6158350,,,,,,,,ON,,,,4.2,1.5,,,5.6,,,2015-01-04 00:00:00,
-79.4,43.666666666666664,,2015,,,,,2,1,TORONTO,,5,,6158350.2015.1.5,6158350,,,,,,,,ON,,,,0,0,,,0,,,2015-01-05 00:00:00,
-79.4,43.666666666666664,,2015,,,,,2,1,TORONTO,,6,,6158350.2015.1.6,6158350,,,,,,,,ON,,,,0,0.6,,,0.5,,,2015-01-06 00:00:00,
-79.4,43.666666666666664,,2015,,,,,1,1,TORONTO,,7,,6158350.2015.1.7,6158350,,,,,,,,ON,,,,0,0,,,0,,,2015-01-07 00:00:00,
-79.4,43.666666666666664,,2015,,,,,1,1,TORONTO,,8,,6158350.2015.1.8,6158350,,,,,,,,ON,,,,0,2.4,,,1.2,,,2015-01-08 00:00:00,
-79.4,43.666666666666664,,2015,,,,,3,1,TORONTO,,9,,6158350.2015.1.9,6158350,,,,,,,,ON,,,,0,1,,,1.9,,,2015-01-09 00:00:00,
-79.4,43.666666666666664,,2015,,,,,3,1,TORONTO,,10,,6158350.2015.1.10,6158350,,,,,,,,ON,,,,0,0,,,0,,,2015-01-10 00:00:00,
-79.4,43.666666666666664,,2015,,,,,2,1,TORONTO,,11,,6158350.2015.1.11,6158350,,,,,,,,ON,,,,0,2,,,1.8,,,2015-01-11 00:00:00,
